Mot-clé original;Label_91;ID_91;Source_91;Score_91
Microbial electrolysis cell;microbial electrolysis cells;https://lod.nal.usda.gov/nalt/301516;NALT;98.2
internal transcribed spacer;internal transcribed spacers;https://lod.nal.usda.gov/nalt/47527;NALT;98.2
microbial electrolysis cell;microbial electrolysis cells;https://lod.nal.usda.gov/nalt/301516;NALT;98.2
Bioelectrochemical systems;bio-electrochemical systems;https://lod.nal.usda.gov/nalt/135579;NALT;98.1
Non-Timber Forest Product;non-timber forest products;https://lod.nal.usda.gov/nalt/7415;NALT;98.0
agricultural mecanisation;agricultural mechanisation;https://lod.nal.usda.gov/nalt/310118;NALT;98.0
dissolved organic carbone;dissolved organic carbon;https://lod.nal.usda.gov/nalt/34079;NALT;98.0
Geographical Indication;geographical indications;https://lod.nal.usda.gov/nalt/198483;NALT;97.9
decision support system;decision support systems;https://lod.nal.usda.gov/nalt/31914;NALT;97.9
digital elevation model;digital elevation models;https://lod.nal.usda.gov/nalt/33582;NALT;97.9
Plant genetic resource;plant genetic resources;https://lod.nal.usda.gov/nalt/42651;NALT;97.8
food composition table;food composition tables;https://lod.nal.usda.gov/nalt/31788;NALT;97.8
fructo-oligosaccharide;fructo-oligosaccharides;https://lod.nal.usda.gov/nalt/41641;NALT;97.8
non destructive testing;nondestructive testing;https://lod.nal.usda.gov/nalt/51646;NALT;97.8
fructooligosacharides;fructooligosaccharides;https://lod.nal.usda.gov/nalt/41641;NALT;97.7
total suspended solid;total suspended solids;https://lod.nal.usda.gov/nalt/46308;NALT;97.7
Germplasm collection;germplasm collections;https://lod.nal.usda.gov/nalt/17325;NALT;97.6
Lecanicilium lecanii;Lecanicillium lecanii;https://lod.nal.usda.gov/nalt/131677;NALT;97.6
Long term experiment;long term experiments;https://lod.nal.usda.gov/nalt/50566;NALT;97.6
behavioural responses;behavioural response;https://lod.nal.usda.gov/nalt/1754;NALT;97.6
source-sink relation;source-sink relations;https://lod.nal.usda.gov/nalt/58611;NALT;97.6
Permanent grassland;permanent grasslands;https://lod.nal.usda.gov/nalt/43757;NALT;97.4
Production economic;production economics;https://lod.nal.usda.gov/nalt/5306;NALT;97.4
Hyperspectral images;hyperspectral image;https://lod.nal.usda.gov/nalt/46606;NALT;97.4
hyperspectral images;hyperspectral image;https://lod.nal.usda.gov/nalt/46606;NALT;97.4
intermittent stream;intermittent streams;https://lod.nal.usda.gov/nalt/37533;NALT;97.4
nitrogen fertilizer;nitrogen fertilizers;https://lod.nal.usda.gov/nalt/7966;NALT;97.4
permanent grassland;permanent grasslands;https://lod.nal.usda.gov/nalt/43757;NALT;97.4
photovoltaic system;photovoltaic systems;https://lod.nal.usda.gov/nalt/148631;NALT;97.4
Neotropical region;neotropical regions;https://lod.nal.usda.gov/nalt/203685;NALT;97.3
business incubator;business incubators;https://lod.nal.usda.gov/nalt/20574;NALT;97.3
artificial wetland;artificial wetlands;https://lod.nal.usda.gov/nalt/12628;NALT;97.3
Temporal variations;temporal variation;https://lod.nal.usda.gov/nalt/978;NALT;97.3
demonstration farm;demonstration farms;https://lod.nal.usda.gov/nalt/5315;NALT;97.3
hydrological model;hydrological models;https://lod.nal.usda.gov/nalt/5214;NALT;97.3
packaging material;packaging materials;https://lod.nal.usda.gov/nalt/625;NALT;97.3
root-knot nematode;root-knot nematodes;https://lod.nal.usda.gov/nalt/52055;NALT;97.3
soil water  content;soil water content;https://lod.nal.usda.gov/nalt/21959;NALT;97.3
Genetic ressources;genetic resources;https://lod.nal.usda.gov/nalt/9219;NALT;97.1
Mechanistic model;mechanistic models;https://lod.nal.usda.gov/nalt/51655;NALT;97.1
dietary behaviours;dietary behaviour;https://lod.nal.usda.gov/nalt/221511;NALT;97.1
light requirements;light requirement;https://lod.nal.usda.gov/nalt/50038;NALT;97.1
phenolic compound;phenolic compounds;https://lod.nal.usda.gov/nalt/2509;NALT;97.1
soilborne disease;soilborne diseases;https://lod.nal.usda.gov/nalt/58570;NALT;97.1
systematic reviews;systematic review;https://lod.nal.usda.gov/nalt/138090;NALT;97.1
Genetc diversity;genetic diversity;https://lod.nal.usda.gov/nalt/10351;NALT;97.0
Household survey;household surveys;https://lod.nal.usda.gov/nalt/30852;NALT;97.0
breeding habitat;breeding habitats;https://lod.nal.usda.gov/nalt/105034;NALT;97.0
Traditional food;traditional foods;https://lod.nal.usda.gov/nalt/488;NALT;97.0
genotype x environment interaction;genotype environment interaction;https://lod.nal.usda.gov/nalt/37429;NALT;97.0
semi-hard cheese;semi-hard cheeses;https://lod.nal.usda.gov/nalt/24540;NALT;97.0
broiler chicken;broiler chickens;https://lod.nal.usda.gov/nalt/19923;NALT;96.8
ambrosia beetle;ambrosia beetles;https://lod.nal.usda.gov/nalt/7488;NALT;96.8
diet preference;diet preferences;https://lod.nal.usda.gov/nalt/14245;NALT;96.8
instrumentations;instrumentation;https://lod.nal.usda.gov/nalt/37142;NALT;96.8
pastoral systems;pastoral system;https://lod.nal.usda.gov/nalt/45310;NALT;96.8
pedunculate oak;pedunculated oak;https://lod.nal.usda.gov/nalt/37168;NALT;96.8
water ressources;water resources;https://lod.nal.usda.gov/nalt/11570;NALT;96.8
weather station;weather stations;https://lod.nal.usda.gov/nalt/52296;NALT;96.8
regional survey;regional surveys;https://lod.nal.usda.gov/nalt/305545;NALT;96.8
resistance gene;resistance genes;https://lod.nal.usda.gov/nalt/298919;NALT;96.8
riparian forest;riparian forests;https://lod.nal.usda.gov/nalt/41243;NALT;96.8
vernacular name;vernacular names;https://lod.nal.usda.gov/nalt/105088;NALT;96.8
Pest of plants;pests of plants;https://lod.nal.usda.gov/nalt/17605;NALT;96.6
bakery product;bakery products;https://lod.nal.usda.gov/nalt/15551;NALT;96.6
aroma compound;aroma compounds;https://lod.nal.usda.gov/nalt/240;NALT;96.6
pest of plants;pests of plants;https://lod.nal.usda.gov/nalt/17605;NALT;96.6
socio-economic;socio-economics;https://lod.nal.usda.gov/nalt/137831;NALT;96.6
soil nutriments;soil nutrients;https://lod.nal.usda.gov/nalt/38806;NALT;96.6
stable isotope;stable isotopes;https://lod.nal.usda.gov/nalt/47905;NALT;96.6
Accelerometer;accelerometers;https://lod.nal.usda.gov/nalt/297760;NALT;96.3
Mixed cultures;mixed culture;https://lod.nal.usda.gov/nalt/47055;NALT;96.3
Desert locusts;desert locust;https://lod.nal.usda.gov/nalt/62552;NALT;96.3
Soil functions;soil function;https://lod.nal.usda.gov/nalt/335251;NALT;96.3
accelerometer;accelerometers;https://lod.nal.usda.gov/nalt/297760;NALT;96.3
Tropical crop;tropical crops;https://lod.nal.usda.gov/nalt/30195;NALT;96.3
cyst nematode;cyst nematodes;https://lod.nal.usda.gov/nalt/31320;NALT;96.3
dynamic model;dynamic models;https://lod.nal.usda.gov/nalt/34989;NALT;96.3
precision libestock farming;precision livestock farming;https://lod.nal.usda.gov/nalt/39543;NALT;96.3
soil functions;soil function;https://lod.nal.usda.gov/nalt/335251;NALT;96.3
soil nutrient;soil nutrients;https://lod.nal.usda.gov/nalt/38806;NALT;96.3
soils analysis;soil analysis;https://lod.nal.usda.gov/nalt/179;NALT;96.3
sweet potatoe;sweet potatoes;https://lod.nal.usda.gov/nalt/47647;NALT;96.3
tropical crop;tropical crops;https://lod.nal.usda.gov/nalt/30195;NALT;96.3
Agro-forestry;agroforestry;https://lod.nal.usda.gov/nalt/5256;NALT;96.0
Plant tissue;plant tissues;https://lod.nal.usda.gov/nalt/15840;NALT;96.0
Plant-pathogenic bacteria;plant pathogenic bacteria;https://lod.nal.usda.gov/nalt/15086;NALT;96.0
Field margin;field margins;https://lod.nal.usda.gov/nalt/69300;NALT;96.0
Greenhouse gases emissions;greenhouse gas emissions;https://lod.nal.usda.gov/nalt/137757;NALT;96.0
Eschscholtzia;Eschscholzia;https://lod.nal.usda.gov/nalt/38140;NALT;96.0
biocomposite;biocomposites;https://lod.nal.usda.gov/nalt/206412;NALT;96.0
cheese-making;cheesemaking;https://lod.nal.usda.gov/nalt/24505;NALT;96.0
food product;food products;https://lod.nal.usda.gov/nalt/408;NALT;96.0
Suction trap;suction traps;https://lod.nal.usda.gov/nalt/47415;NALT;96.0
Sweet orange;sweet oranges;https://lod.nal.usda.gov/nalt/26518;NALT;96.0
Trandescantia;Tradescantia;https://lod.nal.usda.gov/nalt/28121;NALT;96.0
grain legume;grain legumes;https://lod.nal.usda.gov/nalt/16205;NALT;96.0
growth model;growth models;https://lod.nal.usda.gov/nalt/30135;NALT;96.0
lateral root;lateral roots;https://lod.nal.usda.gov/nalt/334527;NALT;96.0
wind turbine;wind turbines;https://lod.nal.usda.gov/nalt/233533;NALT;96.0
plant-parasitic nematodes;plant parasitic nematodes;https://lod.nal.usda.gov/nalt/8933;NALT;96.0
soil horizon;soil horizons;https://lod.nal.usda.gov/nalt/1558;NALT;96.0
vermicompost;vermicomposts;https://lod.nal.usda.gov/nalt/28388;NALT;96.0
cation-exchange capacity;cation exchange capacity;https://lod.nal.usda.gov/nalt/23045;NALT;95.8
fatty-acid methyl esters;fatty acid methyl esters;https://lod.nal.usda.gov/nalt/219843;NALT;95.8
Annual crop;annual crops;https://lod.nal.usda.gov/nalt/9711;NALT;95.7
Farm survey;farm surveys;https://lod.nal.usda.gov/nalt/39518;NALT;95.7
Insect pest;insect pests;https://lod.nal.usda.gov/nalt/9355;NALT;95.7
Dendrometer;dendrometers;https://lod.nal.usda.gov/nalt/32311;NALT;95.7
bark beetle;bark beetles;https://lod.nal.usda.gov/nalt/15842;NALT;95.7
bread making;breadmaking;https://lod.nal.usda.gov/nalt/15574;NALT;95.7
arable soil;arable soils;https://lod.nal.usda.gov/nalt/11657;NALT;95.7
arid climat;arid climate;https://lod.nal.usda.gov/nalt/12160;NALT;95.7
food choice;food choices;https://lod.nal.usda.gov/nalt/14245;NALT;95.7
forest edge;forest edges;https://lod.nal.usda.gov/nalt/69300;NALT;95.7
forest soil;forest soils;https://lod.nal.usda.gov/nalt/35691;NALT;95.7
forest tree;forest trees;https://lod.nal.usda.gov/nalt/41131;NALT;95.7
cover plant;cover plants;https://lod.nal.usda.gov/nalt/28613;NALT;95.7
hand weeding;handweeding;https://lod.nal.usda.gov/nalt/44545;NALT;95.7
insect pest;insect pests;https://lod.nal.usda.gov/nalt/9355;NALT;95.7
mating type;mating types;https://lod.nal.usda.gov/nalt/213507;NALT;95.7
nitrogen-use efficiency;nitrogen use efficiency;https://lod.nal.usda.gov/nalt/54892;NALT;95.7
wind tunnel;wind tunnels;https://lod.nal.usda.gov/nalt/61101;NALT;95.7
plastic bag;plastic bags;https://lod.nal.usda.gov/nalt/199549;NALT;95.7
stakeholder;stakeholders;https://lod.nal.usda.gov/nalt/137842;NALT;95.7
trace metal;trace metals;https://lod.nal.usda.gov/nalt/12372;NALT;95.7
Genotype-by-environment interaction;genotype-environment interaction;https://lod.nal.usda.gov/nalt/37429;NALT;95.5
genotype-by-environment interaction;genotype-environment interaction;https://lod.nal.usda.gov/nalt/37429;NALT;95.5
ultraviolet irradiation;ultraviolet radiation;https://lod.nal.usda.gov/nalt/36204;NALT;95.5
Cover crop;cover crops;https://lod.nal.usda.gov/nalt/28616;NALT;95.2
Polihydroxyalkanoates;polyhydroxyalkanoates;https://lod.nal.usda.gov/nalt/59131;NALT;95.2
Post-larvae;postlarvae;https://lod.nal.usda.gov/nalt/189989;NALT;95.2
Formicideae;Formicidae;https://lod.nal.usda.gov/nalt/3111;NALT;95.2
Greenhouse;greenhouses;https://lod.nal.usda.gov/nalt/5487;NALT;95.2
Host Plant;host plants;https://lod.nal.usda.gov/nalt/40972;NALT;95.2
Livelihoods;livelihood;https://lod.nal.usda.gov/nalt/130669;NALT;95.2
Sandy soil;sandy soils;https://lod.nal.usda.gov/nalt/62360;NALT;95.2
cover crop;cover crops;https://lod.nal.usda.gov/nalt/28616;NALT;95.2
crop model;crop models;https://lod.nal.usda.gov/nalt/15;NALT;95.2
greenhouse;greenhouses;https://lod.nal.usda.gov/nalt/5487;NALT;95.2
host plant;host plants;https://lod.nal.usda.gov/nalt/40972;NALT;95.2
osmolalilty;osmolality;https://lod.nal.usda.gov/nalt/106004;NALT;95.2
phosphorous;phosphorus;https://lod.nal.usda.gov/nalt/33436;NALT;95.2
wine grape;wine grapes;https://lod.nal.usda.gov/nalt/43689;NALT;95.2
rain gauge;rain gauges;https://lod.nal.usda.gov/nalt/42462;NALT;95.2
rizosphere;rhizosphere;https://lod.nal.usda.gov/nalt/52688;NALT;95.2
smarphones;smartphones;https://lod.nal.usda.gov/nalt/304814;NALT;95.2
species introduction;species reintroduction;https://lod.nal.usda.gov/nalt/63739;NALT;95.2
urban soil;urban soils;https://lod.nal.usda.gov/nalt/10106;NALT;95.2
Bipolaris spp;Bipolaris;https://lod.nal.usda.gov/nalt/17562;NALT;95.0
Brassica napus L.;Brassica napus;https://lod.nal.usda.gov/nalt/19319;NALT;95.0
Bukhara Red Deer;Bukhara deer;https://lod.nal.usda.gov/nalt/263383;NALT;95.0
Canarium schweinfurthii Engl.;Canarium schweinfurthii;https://lod.nal.usda.gov/nalt/270265;NALT;95.0
Capsicum annuum L.;Capsicum annuum;https://lod.nal.usda.gov/nalt/22071;NALT;95.0
11.01 RESEARCH METHODS;research methods;https://lod.nal.usda.gov/nalt/9146;NALT;95.0
A50 Agricultural research;agricultural research;https://lod.nal.usda.gov/nalt/5456;NALT;95.0
Oryza sativa L.;Oryza sativa;https://lod.nal.usda.gov/nalt/56277;NALT;95.0
Pediococcus spp;Pediococcus;https://lod.nal.usda.gov/nalt/48749;NALT;95.0
Puccinia striiformis f. sp. tritici;Puccinia striiformis f. tritici;https://lod.nal.usda.gov/nalt/212254;NALT;95.0
F07 Soil Cultivation;soil cultivation;https://lod.nal.usda.gov/nalt/25207;NALT;95.0
F1 hybrids;hybrids;https://lod.nal.usda.gov/nalt/30999;NALT;95.0
Flax fibre;fibre flax;https://lod.nal.usda.gov/nalt/40523;NALT;95.0
Global mineral resources;mineral resources;https://lod.nal.usda.gov/nalt/53076;NALT;95.0
Ground penetrating radar systems;ground penetrating radar;https://lod.nal.usda.gov/nalt/43908;NALT;95.0
H10 - Pests of plants;pests of plants;https://lod.nal.usda.gov/nalt/17605;NALT;95.0
H10 Pests of plants;pests of plants;https://lod.nal.usda.gov/nalt/17605;NALT;95.0
H60 Weed control;weed control;https://lod.nal.usda.gov/nalt/293;NALT;95.0
H60 weed control;weed control;https://lod.nal.usda.gov/nalt/293;NALT;95.0
Hyperspectral;hyperspectral image;https://lod.nal.usda.gov/nalt/46606;NALT;95.0
Ingredients list;ingredients;https://lod.nal.usda.gov/nalt/3928;NALT;95.0
L72 Pests of animals;pests of animals;https://lod.nal.usda.gov/nalt/9233;NALT;95.0
Land management change;land management;https://lod.nal.usda.gov/nalt/39546;NALT;95.0
Life Cycle Assessment (LCA);life cycle assessment;https://lod.nal.usda.gov/nalt/135257;NALT;95.0
Life cycle inventory (LCI);life cycle inventory;https://lod.nal.usda.gov/nalt/136594;NALT;95.0
Linkage disequilibrium map;linkage disequilibrium;https://lod.nal.usda.gov/nalt/50235;NALT;95.0
MAT mathematics and statistics;mathematics and statistics;https://lod.nal.usda.gov/nalt/6369;NALT;95.0
Malus x domestica;Malus domestica;https://lod.nal.usda.gov/nalt/11312;NALT;95.0
Metabarcoding;DNA metabarcoding;https://lod.nal.usda.gov/nalt/192232;NALT;95.0
Metabolomic profiling;metabolic profiling;https://lod.nal.usda.gov/nalt/17412;NALT;95.0
Near-mid infrared spectroscopy;infrared spectroscopy;https://lod.nal.usda.gov/nalt/39469;NALT;95.0
Dreissena sp.;Dreissena;https://lod.nal.usda.gov/nalt/34517;NALT;95.0
EAR meteorology and climatology;meteorology and climatology;https://lod.nal.usda.gov/nalt/2716;NALT;95.0
Egg Parasitoids;parasitoids;https://lod.nal.usda.gov/nalt/17434;NALT;95.0
Republic of Congo;Republic of the Congo;https://lod.nal.usda.gov/nalt/23665;NALT;95.0
Rice Yellow Mottle Virus (RYMV);Rice yellow mottle virus;https://lod.nal.usda.gov/nalt/61530;NALT;95.0
Rice Yellow Mottle virus (RYMV);Rice yellow mottle virus;https://lod.nal.usda.gov/nalt/61530;NALT;95.0
SSH culture and humanities;culture and humanities;https://lod.nal.usda.gov/nalt/2172;NALT;95.0
Scanning electronic microscopy SEM;scanning electronic microscopy;https://lod.nal.usda.gov/nalt/36213;NALT;95.0
Soil Suitability Map;soil suitability;https://lod.nal.usda.gov/nalt/63434;NALT;95.0
baking quality score;baking quality;https://lod.nal.usda.gov/nalt/15575;NALT;95.0
carbon sequestration cost;carbon sequestration;https://lod.nal.usda.gov/nalt/17382;NALT;95.0
cell-wall components;cell wall components;https://lod.nal.usda.gov/nalt/23359;NALT;95.0
Web databases;databases;https://lod.nal.usda.gov/nalt/31783;NALT;95.0
acid resistance genes;acid resistance;https://lod.nal.usda.gov/nalt/135;NALT;95.0
active packaging materials;packaging materials;https://lod.nal.usda.gov/nalt/625;NALT;95.0
environmental assessment tool;environmental assessment;https://lod.nal.usda.gov/nalt/10089;NALT;95.0
feeding sheep;sheep feeding;https://lod.nal.usda.gov/nalt/38844;NALT;95.0
fishery management unit;fishery management;https://lod.nal.usda.gov/nalt/105046;NALT;95.0
fried sweet potatoes;sweet potatoes;https://lod.nal.usda.gov/nalt/47647;NALT;95.0
fruit development stage;fruit development;https://lod.nal.usda.gov/nalt/7130;NALT;95.0
Species distribution model;species distribution;https://lod.nal.usda.gov/nalt/17394;NALT;95.0
Thermal energy data;thermal energy;https://lod.nal.usda.gov/nalt/305882;NALT;95.0
Triticum aestivum L.;Triticum aestivum;https://lod.nal.usda.gov/nalt/66457;NALT;95.0
dissolved organic carbon (DOC);dissolved organic carbon;https://lod.nal.usda.gov/nalt/34079;NALT;95.0
grape berry;grape berry moth;https://lod.nal.usda.gov/nalt/37059;NALT;95.0
invasive animal species;invasive species;https://lod.nal.usda.gov/nalt/28000;NALT;95.0
irrigation de surface;surface irrigation;https://lod.nal.usda.gov/nalt/47783;NALT;95.0
land use and management;land use management;https://lod.nal.usda.gov/nalt/49161;NALT;95.0
life cycle analysis;life cycle impact analysis;https://lod.nal.usda.gov/nalt/136886;NALT;95.0
livestock farming system;livestock farming;https://lod.nal.usda.gov/nalt/302267;NALT;95.0
mass transfer model;mass transfer;https://lod.nal.usda.gov/nalt/40687;NALT;95.0
metabarcoding;DNA metabarcoding;https://lod.nal.usda.gov/nalt/192232;NALT;95.0
metabolomic profiling;metabolic profiling;https://lod.nal.usda.gov/nalt/17412;NALT;95.0
microbial growth rate;microbial growth;https://lod.nal.usda.gov/nalt/44016;NALT;95.0
microbial growth yield;microbial growth;https://lod.nal.usda.gov/nalt/44016;NALT;95.0
natural intraspecific variation;intraspecific variation;https://lod.nal.usda.gov/nalt/217170;NALT;95.0
near-infrared spectroscopy NIRS;near-infrared spectroscopy;https://lod.nal.usda.gov/nalt/47265;NALT;95.0
occupational safety and health;occupational health and safety;https://lod.nal.usda.gov/nalt/2148;NALT;95.0
organic agriculture label;organic agriculture;https://lod.nal.usda.gov/nalt/7144;NALT;95.0
organic carbon (TOC);organic carbon;https://lod.nal.usda.gov/nalt/302968;NALT;95.0
organic volatile compounds;volatile organic compounds;https://lod.nal.usda.gov/nalt/56088;NALT;95.0
phosphorus (P);phosphorus;https://lod.nal.usda.gov/nalt/33436;NALT;95.0
water-use efficiency;water use efficiency;https://lod.nal.usda.gov/nalt/58615;NALT;95.0
plant development stage;plant development;https://lod.nal.usda.gov/nalt/1790;NALT;95.0
plant growth form;plant growth;https://lod.nal.usda.gov/nalt/20266;NALT;95.0
plant growth-promoting rhizobacteria (PGPR);plant growth-promoting rhizobacteria;https://lod.nal.usda.gov/nalt/57623;NALT;95.0
postharvest quality traits;postharvest quality;https://lod.nal.usda.gov/nalt/32790;NALT;95.0
potassium (K);potassium;https://lod.nal.usda.gov/nalt/6405;NALT;95.0
species distribution models;species distribution;https://lod.nal.usda.gov/nalt/17394;NALT;95.0
stable carbon isotopes;carbon isotopes;https://lod.nal.usda.gov/nalt/323722;NALT;95.0
storage protein composition;protein composition;https://lod.nal.usda.gov/nalt/7747;NALT;95.0
total organic carbon (TOC);total organic carbon;https://lod.nal.usda.gov/nalt/325123;NALT;95.0
total phosphorus (P2O5);total phosphorus;https://lod.nal.usda.gov/nalt/325170;NALT;95.0
total suspended sediment;suspended sediment;https://lod.nal.usda.gov/nalt/225122;NALT;95.0
tropical forest conservation;forest conservation;https://lod.nal.usda.gov/nalt/301340;NALT;95.0
Dairy cooperavatives;dairy cooperatives;https://lod.nal.usda.gov/nalt/28930;NALT;94.7
Rice husk;rice husks;https://lod.nal.usda.gov/nalt/46055;NALT;94.7
Rootstock;rootstocks;https://lod.nal.usda.gov/nalt/43597;NALT;94.7
ferralsol;Ferralsols;https://lod.nal.usda.gov/nalt/216348;NALT;94.7
consumer-acceptance;consumer acceptance;https://lod.nal.usda.gov/nalt/28651;NALT;94.7
crop pest;crop pests;https://lod.nal.usda.gov/nalt/17605;NALT;94.7
digestats;digestants;https://lod.nal.usda.gov/nalt/9862;NALT;94.7
leaf spots;leaf spot;https://lod.nal.usda.gov/nalt/49434;NALT;94.7
rare-earth elements;rare earth elements;https://lod.nal.usda.gov/nalt/24072;NALT;94.7
rootstock;rootstocks;https://lod.nal.usda.gov/nalt/43597;NALT;94.7
tree ring;tree rings;https://lod.nal.usda.gov/nalt/32283;NALT;94.7
Smallholder farmers;smallholder farms;https://lod.nal.usda.gov/nalt/39551;NALT;94.4
Spectrofluorimetry;spectrofluorometry;https://lod.nal.usda.gov/nalt/40703;NALT;94.4
MODIS > Moderate-Resolution Imaging Spectroradiometer;MODIS (moderate resolution imaging spectroradiometer);https://lod.nal.usda.gov/nalt/136590;NALT;94.3
Mucilage;mucilages;https://lod.nal.usda.gov/nalt/53574;NALT;94.1
cultivar;cultivars;https://lod.nal.usda.gov/nalt/5630;NALT;94.1
ideotype;ideotypes;https://lod.nal.usda.gov/nalt/46860;NALT;94.1
mucilage;mucilages;https://lod.nal.usda.gov/nalt/53574;NALT;94.1
oil palms;oil palm;https://lod.nal.usda.gov/nalt/36089;NALT;94.1
African buffaloes;African buffalo;https://lod.nal.usda.gov/nalt/4852;NALT;93.8
freshwater fishes;freshwater fish;https://lod.nal.usda.gov/nalt/40298;NALT;93.8
leaf developemnt;leaf development;https://lod.nal.usda.gov/nalt/32881;NALT;93.8
oxydative stress;oxidative stress;https://lod.nal.usda.gov/nalt/764;NALT;93.8
food packaging material;food-packaging materials;https://lod.nal.usda.gov/nalt/312078;NALT;93.6
Colombus;Colobus;https://lod.nal.usda.gov/nalt/23986;NALT;93.3
Acerola;acerolas;https://lod.nal.usda.gov/nalt/131668;NALT;93.3
African trypanosomosis;African trypanosomiasis;https://lod.nal.usda.gov/nalt/4893;NALT;93.3
Animal deseases;animal diseases;https://lod.nal.usda.gov/nalt/324;NALT;93.3
aroma coumpound;aroma compounds;https://lod.nal.usda.gov/nalt/240;NALT;93.3
fishway;fishways;https://lod.nal.usda.gov/nalt/190511;NALT;93.3
land-use;landuse;https://lod.nal.usda.gov/nalt/1581;NALT;93.3
seedbed;seedbeds;https://lod.nal.usda.gov/nalt/30148;NALT;93.3
Flowering data;flowering date;https://lod.nal.usda.gov/nalt/301315;NALT;92.9
carbon dioxyde;carbon dioxide;https://lod.nal.usda.gov/nalt/17007;NALT;92.9
water sources;water resources;https://lod.nal.usda.gov/nalt/11570;NALT;92.9
biophysical properties;physical properties;https://lod.nal.usda.gov/nalt/1796;NALT;92.7
environmental equity;environmental quality;https://lod.nal.usda.gov/nalt/5850;NALT;92.7
Borrago;Borago;https://lod.nal.usda.gov/nalt/18601;NALT;92.3
Canton;Canthon;https://lod.nal.usda.gov/nalt/21944;NALT;92.3
Cements;cement;https://lod.nal.usda.gov/nalt/564;NALT;92.3
Amazon;Amazona;https://lod.nal.usda.gov/nalt/7408;NALT;92.3
Piglet;piglets;https://lod.nal.usda.gov/nalt/14457;NALT;92.3
Gerber;Gerbera;https://lod.nal.usda.gov/nalt/13307;NALT;92.3
Metabolomic analysis;metabolome analysis;https://lod.nal.usda.gov/nalt/17412;NALT;92.3
Mucosal;mucosa;https://lod.nal.usda.gov/nalt/23407;NALT;92.3
mildew;mildews;https://lod.nal.usda.gov/nalt/34451;NALT;92.3
piglet;piglets;https://lod.nal.usda.gov/nalt/14457;NALT;92.3
predator prey relations;predator prey relationships;https://lod.nal.usda.gov/nalt/41769;NALT;92.0
Oriza sativa;Oryza sativa;https://lod.nal.usda.gov/nalt/56277;NALT;91.7
Genotyping-by-sequencing;genotyping by sequencing;https://lod.nal.usda.gov/nalt/298101;NALT;91.7
centrifugeuse;centrifuges;https://lod.nal.usda.gov/nalt/23713;NALT;91.7
Spray-drying;spray drying;https://lod.nal.usda.gov/nalt/34731;NALT;91.7
genotyping-by-sequencing;genotyping by sequencing;https://lod.nal.usda.gov/nalt/298101;NALT;91.7
soil hydraulic property;soil hydraulic properties;https://lod.nal.usda.gov/nalt/14082;NALT;91.7
soya product;soy products;https://lod.nal.usda.gov/nalt/43258;NALT;91.7
smallholder farmer;smallholder farms;https://lod.nal.usda.gov/nalt/39551;NALT;91.4
Charente-Maritime (17);Charente-Maritime;https://ark.frantiq.fr/ark:/26678/pcrtfzdyccTyGo;PACTOLS_LIEUX;95.0
Nouvelle Aquitaine;Nouvelle-Aquitaine;https://ark.frantiq.fr/ark:/26678/crtzlfS4gXnfB;PACTOLS_LIEUX;94.4
Budding;Buding;https://ark.frantiq.fr/ark:/26678/pcrtAKTm7fhYmd;PACTOLS_LIEUX;92.3
Calvia;Calviac;https://ark.frantiq.fr/ark:/26678/pcrtGCTdzieAio;PACTOLS_LIEUX;92.3
Olympe;Olympie;https://ark.frantiq.fr/ark:/26678/pcrtAXroUFsvgq;PACTOLS_LIEUX;92.3
FAOSTAT;Fostat;https://ark.frantiq.fr/ark:/26678/pcrtPpN2PQU0H8;PACTOLS_LIEUX;92.3
Foutou;Fourtou;https://ark.frantiq.fr/ark:/26678/pcrtr8AFdFLd7b;PACTOLS_LIEUX;92.3
St-Martin-de-Hinx;Saint-Martin-de-Hinx;https://ark.frantiq.fr/ark:/26678/pcrt3yPPYFAwkp;PACTOLS_LIEUX;91.9
Rhone River;Rhone (river);https://ark.frantiq.fr/ark:/26678/pcrtf3oqIdtJuL;PACTOLS_LIEUX;91.7
Transferts de population;transfert de population;https://ark.frantiq.fr/ark:/26678/pcrtJE5sgAQTy7;PACTOLS_SUJETS;97.9
agricultural operations;agricultural operation;https://ark.frantiq.fr/ark:/26678/pcrt9n2Ts8Ezd2;PACTOLS_SUJETS;97.8
Agricultural practices;agricultural practice;https://ark.frantiq.fr/ark:/26678/pcrtPMnyBFScKQ;PACTOLS_SUJETS;97.7
Geomorphological units;geomorphological unit;https://ark.frantiq.fr/ark:/26678/pcrtx8jkmjkjtt;PACTOLS_SUJETS;97.7
agricultural practices;agricultural practice;https://ark.frantiq.fr/ark:/26678/pcrtPMnyBFScKQ;PACTOLS_SUJETS;97.7
History of sciences;history of science;https://ark.frantiq.fr/ark:/26678/pcrt5GrzaBJm2M;PACTOLS_SUJETS;97.3
Computer sciences;computer science;https://ark.frantiq.fr/ark:/26678/pcrt1GP77Af0SA;PACTOLS_SUJETS;97.0
computer sciences;computer science;https://ark.frantiq.fr/ark:/26678/pcrt1GP77Af0SA;PACTOLS_SUJETS;97.0
Paleo-demography;paleodemography;https://ark.frantiq.fr/ark:/26678/pcrtZd0FGOZwl3;PACTOLS_SUJETS;96.8
Intersections;intersection;https://ark.frantiq.fr/ark:/26678/pcrt1rzVyAmprh;PACTOLS_SUJETS;96.0
